sample_id,ticker,risk_profile,factual_accuracy_0_to_2,logical_coherence_0_to_2,completeness_0_to_2,transparency_0_to_2,total_0_to_8,scorer_code,notes
O01,AAPL,low,1,1,2,2,6,AUTHOR,"Unsupported claim that a low-risk label limits losses; recommendation assumes existing holdings."
O02,AAPL,high,2,1,2,1,6,AUTHOR,"Indicator reading is broadly correct, but exact 340/325 action levels are unsupported by supplied evidence."
O03,MSFT,low,0,0,2,1,3,AUTHOR,"Incorrectly treats MACD above its signal as bearish and produces internally conflicting trend statements."
O04,MSFT,high,1,1,2,1,5,AUTHOR,"Mixes the negative MACD level with the bullish MACD-versus-signal relation and recommends a moderate profile despite high input."
O05,TSLA,low,1,1,2,2,6,AUTHOR,"States that the signal line is below MACD when -1.9750 is above -3.6456."
O06,TSLA,high,2,2,2,2,8,AUTHOR,"Values and bearish interpretation are consistent; recommendation remains cautious."
O07,JPM,low,2,1,2,1,6,AUTHOR,"Facts are consistent, but the 355 target and two-to-three-week horizon are invented."
O08,JPM,high,2,2,2,2,8,AUTHOR,"Values, relative MACD interpretation and cautious recommendation are consistent."
O09,JNJ,low,1,1,2,2,6,AUTHOR,"Explains positive MACD as short average below long average; downward MACD-versus-signal conclusion is otherwise directionally correct."
O10,JNJ,high,1,2,2,2,7,AUTHOR,"Uses the term divergence inaccurately, but values and cautious inference are otherwise coherent."
O11,XOM,low,2,1,2,2,7,AUTHOR,"Values are correct; direct long recommendation is stronger than two momentum indicators justify."
O12,XOM,high,1,1,2,1,5,AUTHOR,"Calls a crossover a divergence and invents a 20–30% portfolio allocation."
O13,GOOG_GOOGL,low,1,1,2,1,5,AUTHOR,"Confuses a negative MACD level with the relative bullish signal and invents stop/target prices."
O14,GOOG_GOOGL,high,0,0,2,1,3,AUTHOR,"Numerically reverses -1.9124 and -1.9569, creating a false sell signal."
O15,AMZN,low,2,1,2,1,6,AUTHOR,"Indicator interpretation is sound, but the 1–2% portfolio allocation is unsupported."
O16,AMZN,high,1,0,2,1,4,AUTHOR,"Mislabels the MACD relation and recommends an extreme 60–70% allocation despite mixed evidence."
O17,NVDA,low,2,1,2,1,6,AUTHOR,"Values are correct, but a long-term investment conclusion and stop prices exceed the evidence."
O18,NVDA,high,1,1,2,2,6,AUTHOR,"Calls RSI 48.22 high and recommends a moderate profile despite high input; main directional reading is consistent."
O19,KO,low,2,2,2,2,8,AUTHOR,"Values, balanced RSI, downward MACD relation and wait-and-see recommendation are proportionate."
O20,KO,high,2,2,2,2,8,AUTHOR,"Values and bearish interpretation are consistent and accompanied by clear limitations."
